uri,ou_indicadoresTitulacion,ou_notaMinimaAccesoMayor45,ou_hombresPrimeraMatriculaPrimerCurso,ou_extranjerosPrimeraMatricula,ou_mujeresPrimeraMatriculaPrimerCurso,ou_hombresPrimeraMatricula,ou_mujeresPrimeraMatricula,ou_notaMinimaAccesoTitulados,ou_espanolesPrimeraMatricula,ou_notaMinimaAccesoDeportistas,ou_notaMinimaAccesoGeneral,rdfs_label,ou_notaMinimaAccesoMayor25,ou_notaMinimaAccesoMayor40,ou_notaMinimaAccesoDiscapacitados,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0212-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0212-grado-en-medicina,,37,4,83,37,85,9.252,118,11.369,12.547,Indicadores DemandaUniversitaria 2020 GRADO EN MEDICINA (0212),5.525,,8.273,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1006-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,,29,4,66,32,70,8.128,98,9.2,10.632,Indicadores DemandaUniversitaria 2020 GRADO EN VETERINARIA (1006),6.35,,10.764,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1305-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1305-grado-en-enfermeria-caceres,,19,1,76,21,79,8.88,99,6.573,9.759,Indicadores DemandaUniversitaria 2020 GRADO EN ENFERMERÍA (CÁCERES) (1305),8.1,,5.15,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0624-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0624-grado-en-psicologia,5,8,1,60,10,62,,71,10.749,9.918,Indicadores DemandaUniversitaria 2020 GRADO EN PSICOLOGÍA (0624),5.45,,6.22,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0306-grado-en-derecho,,52,3,57,54,60,6.842,111,,5.668,Indicadores DemandaUniversitaria 2020 GRADO EN DERECHO (0306),5.38,,8.086,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0616-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0616-grado-en-educacion-infantil-badajoz,,10,2,124,10,124,7.893,132,,5.186,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN INFANTIL (BADAJOZ) (0616),6.08,,8.341,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1010-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1010-grado-en-bioquimica,,17,,23,17,24,8.647,41,,10.533,Indicadores DemandaUniversitaria 2020 GRADO EN BIOQUÍMICA (1010),8.23,,7.84,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1210-grado-en-enfermeria-plasencia,,22,,78,25,82,9.495,107,,9.084,Indicadores DemandaUniversitaria 2020 GRADO EN ENFERMERÍA (PLASENCIA) (1210),7.93,,7.03,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0617-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0617-grado-en-educacion-primaria-badajoz,,113,3,157,114,162,,273,,5.04,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN PRIMARIA (BADAJOZ) (0617),6.33,,5,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0716-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0716-grado-en-educacion-infantil-caceres,,18,1,121,18,124,7.08,141,,5.004,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN INFANTIL (CÁCERES) (0716),,,6.132,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0122-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0122-grado-en-fisica,,32,1,9,32,9,,40,,9.573,Indicadores DemandaUniversitaria 2020 GRADO EN FÍSICA (0122),,,9.657,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0715-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0715-grado-en-educacion-social,,9,1,76,11,80,,90,,6.47,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN SOCIAL (0715),,,6.93,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1407-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1407-grado-en-administracion-y-direccion-de-empresas-caceres,,71,3,57,77,60,6.929,134,,5.01,Indicadores DemandaUniversitaria 2020 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CÁCERES) (1407),5.42,5.65,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1706-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1706-grado-en-informacion-y-documentacion,,8,1,8,10,10,8.007,19,,5.278,Indicadores DemandaUniversitaria 2020 GRADO EN INFORMACIÓN Y DOCUMENTACIÓN (1706),5,8.76,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1112-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1112-grado-en-administracion-y-direccion-de-empresas-badajoz,,57,5,38,63,39,,97,,5.34,Indicadores DemandaUniversitaria 2020 GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (BADAJOZ) (1112),,8.34,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1512-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1512-grado-en-ingenieria-en-diseno-industrial-y-desarrollo-de-productos,,28,,17,28,17,,45,,5.11,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTOS (1512),,5.7,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0211-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0211-grado-en-fisioterapia,,25,4,40,26,40,8.45,62,7.36,10.7,Indicadores DemandaUniversitaria 2020 GRADO EN FISIOTERAPIA (0211),5.1,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0903-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0903-grado-en-ciencias-de-la-actividad-fisica-y-del-deporte,,63,,26,64,26,,90,5.602,8.75,Indicadores DemandaUniversitaria 2020 GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE (0903),5.26,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0120-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0120-grado-en-biologia,,37,5,43,39,44,9.18,78,,5.626,Indicadores DemandaUniversitaria 2020 GRADO EN BIOLOGÍA (0120),5.43,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1306-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1306-grado-en-terapia-ocupacional,,14,1,49,14,49,7.293,62,,5.381,Indicadores DemandaUniversitaria 2020 GRADO EN TERAPIA OCUPACIONAL (1306),6.4,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1511-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1511-grado-en-enfermeria-merida,,13,1,40,13,43,8.81,55,,9.5,Indicadores DemandaUniversitaria 2020 GRADO EN ENFERMERÍA (MÉRIDA) (1511),9.13,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0210-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0210-grado-en-enfermeria-badajoz,5.75,17,,63,18,66,8.27,84,,10.34,Indicadores DemandaUniversitaria 2020 GRADO EN ENFERMERÍA (BADAJOZ) (0210),8.18,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0428-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0428-grado-en-historia-y-patrimonio-historico,8,35,,8,36,10,7.27,46,,5.528,Indicadores DemandaUniversitaria 2020 GRADO EN HISTORIA Y PATRIMONIO HISTÓRICO (0428),5,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1709-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1709-grado-en-periodismo,,9,,17,10,18,6.918,28,,6.37,Indicadores DemandaUniversitaria 2020 GRADO EN PERIODISMO (1709),6.1,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1514-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1514-grado-en-ingenieria-informatica-en-tecnologias-de-la-informacion,,21,2,4,22,4,,24,,5.58,Indicadores DemandaUniversitaria 2020 GRADO EN INGENIERÍA INFORMÁTICA EN TECNOLOGÍAS DE LA INFORMACIÓN (1514),6.34,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0425-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0425-grado-en-filologia-clasica,,4,,8,4,10,,14,,9.089,Indicadores DemandaUniversitaria 2020 GRADO EN FILOLOGÍA CLÁSICA (0425),6.6,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0429-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0429-grado-en-historia-del-arte-y-patrimonio-historico-artistico,,4,,10,4,10,,14,,5.21,Indicadores DemandaUniversitaria 2020 GRADO EN HISTORIA DEL ARTE Y PATRIMONIO HISTÓRICO-ARTÍSTICO (0429),7.33,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1809-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1809-grado-en-educacion-primaria-almendralejo,,7,,12,8,13,,21,,5.024,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN PRIMARIA (ALMENDRALEJO) (1809),8.65,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1791-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1791-pceo-comunicacion-audiovisual-e-informacion-y-documentacion-2018,,11,2,4,11,4,,13,6.559,6.268,Indicadores DemandaUniversitaria 2020 DOBLE GRADO EN COMUNICACIÓN AUDIOVISUAL/ INFORMACIÓN Y DOCUMENTACIÓN (2018) (1791),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-0717-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,,60,1,77,65,79,7.448,143,,5.516,Indicadores DemandaUniversitaria 2020 GRADO EN EDUCACIÓN PRIMARIA (CÁCERES) (0717),,,,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/indicadores/IndicadoresDemandaUniversitaria/2020-1114-DU,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1114-grado-en-economia,,19,1,12,20,12,6.208,31,,5.442,Indicadores DemandaUniversitaria 2020 GRADO EN ECONOMÍA (1114),,,,2019-2020
